ID_Atendimento;Data_Atendimento;Tipo_Atendimento;Status;Meio_Contato;Tempo_Resolucao_minutos;Avaliacao
71;2023-07-20 05:32:46;Reclamação;Resolvido;E-mail;51;4
72;2023-10-09 16:07:34;Suporte Técnico;Sem Solução;WhatsApp;97;4
73;2023-11-30 09:05:04;Suporte Técnico;Resolvido;Chat Online;118;1
74;2023-08-30 06:47:15;Suporte Técnico;Encaminhado;WhatsApp;3;4
75;2023-04-27 12:43:35;Suporte Técnico;Resolvido;E-mail;71;3
76;2023-11-18 20:49:34;Informação;Resolvido;Chat Online;108;1
77;2023-07-25 23:34:17;Suporte Técnico;Pendente;E-mail;44;0
78;2024-10-16 22:00:59;Vendas;Pendente;Telefone;49;0
79;2023-01-11 18:18:58;Informação;Encaminhado;Telefone;92;3
80;2024-06-14 16:10:03;Cancelamento;Sem Solução;Telefone;;2
81;2024-05-11 03:17:43;Vendas;Encaminhado;WhatsApp;64;4
82;2024-08-09 06:05:28;Vendas;Sem Solução;E-mail;1;2
83;2023-08-12 23:57:20;Vendas;Sem Solução;Chat Online;77;1
84;2023-07-06 10:47:32;Cancelamento;Pendente;Telefone;17;4
85;2024-10-10 19:20:39;Vendas;Encaminhado;E-mail;115;4
86;2024-07-04 00:23:42;Cancelamento;Encaminhado;E-mail;26;4
87;2023-08-07 07:21:14;Suporte Técnico;Encaminhado;E-mail;28;2
88;2023-02-15 01:01:16;Suporte Técnico;Sem Solução;Chat Online;15;3
89;2024-08-15 09:04:36;Vendas;Encaminhado;Telefone;55;3
90;2024-02-17 15:02:15;Vendas;Pendente;E-mail;36;0
91;2023-07-16 16:39:39;Cancelamento;Pendente;WhatsApp;92;5
92;2024-01-11 08:13:32;Suporte Técnico;Sem Solução;WhatsApp;99;3
93;2024-05-04 06:12:41;Informação;Encaminhado;Chat Online;95;0
94;2023-12-10 09:48:37;Informação;Resolvido;Chat Online;5;2
95;2023-06-19 00:32:39;Vendas;Resolvido;E-mail;2;2
96;2023-07-12 01:58:11;Informação;Pendente;Telefone;88;5
97;2024-01-30 18:24:39;Cancelamento;Resolvido;Chat Online;34;2
98;2023-12-16 15:05:14;Vendas;Encaminhado;Telefone;;1
99;2023-01-05 09:28:53;Informação;Sem Solução;E-mail;105;0
100;2024-05-24 00:29:14;Reclamação;Encaminhado;E-mail;62;3
101;2024-09-18 02:20:35;Reclamação;Pendente;WhatsApp;;2
102;2024-10-20 05:00:32;Cancelamento;Encaminhado;Chat Online;86;0
103;2024-02-28 18:03:41;Reclamação;Sem Solução;E-mail;;3
104;2023-12-21 04:00:24;Reclamação;Pendente;Chat Online;104;0
105;2023-07-31 23:34:29;Cancelamento;Resolvido;E-mail;107;0
106;2023-11-14 12:06:14;Reclamação;Encaminhado;WhatsApp;19;5
107;2023-09-14 11:30:15;Vendas;Sem Solução;WhatsApp;104;4
108;2023-03-17 05:56:29;Cancelamento;Resolvido;E-mail;13;5
109;2024-06-08 02:11:15;Suporte Técnico;Resolvido;Telefone;42;5
110;2024-03-16 01:35:16;Suporte Técnico;Encaminhado;Chat Online;40;0
111;2024-03-21 04:10:19;Vendas;Pendente;Telefone;12;5
112;2024-08-03 21:21:27;Cancelamento;Resolvido;Chat Online;36;4
113;2023-04-27 08:07:06;Informação;Pendente;Telefone;119;0
114;2024-04-11 13:28:02;Suporte Técnico;Encaminhado;Chat Online;28;4
115;2023-04-29 05:02:17;Informação;Encaminhado;Chat Online;3;5
116;2024-04-26 02:40:02;Cancelamento;Pendente;Chat Online;30;0
117;2023-04-15 05:12:25;Suporte Técnico;Pendente;WhatsApp;34;1
118;2024-08-08 20:13:40;Vendas;Encaminhado;E-mail;10;2
119;2023-01-29 13:27:33;Reclamação;Resolvido;Telefone;102;2
120;2023-05-01 16:52:26;Reclamação;Pendente;Telefone;115;0
121;2023-10-30 00:03:42;Informação;Encaminhado;E-mail;45;2
122;2024-03-12 21:20:56;Suporte Técnico;Encaminhado;E-mail;;4
123;2023-06-28 07:16:21;Vendas;Resolvido;Telefone;92;0
124;2023-08-27 12:30:05;Vendas;Resolvido;Telefone;37;2
125;2024-11-10 01:21:34;Reclamação;Sem Solução;E-mail;11;1
126;2024-04-02 16:22:20;Suporte Técnico;Sem Solução;WhatsApp;31;1
127;2023-05-25 13:27:10;Informação;Pendente;E-mail;;4
128;2023-03-07 04:17:12;Cancelamento;Sem Solução;Telefone;102;4
129;2024-07-23 20:52:45;Informação;Pendente;Chat Online;;2
130;2024-08-15 17:26:49;Suporte Técnico;Resolvido;E-mail;79;0
131;2023-06-02 04:08:39;Suporte Técnico;Sem Solução;E-mail;14;1
132;2024-07-07 01:37:26;Cancelamento;Sem Solução;WhatsApp;2;0
133;2024-03-12 10:49:20;Reclamação;Pendente;Chat Online;;5
134;2023-08-23 22:36:26;Vendas;Resolvido;Telefone;10;5
135;2024-08-16 10:08:44;Cancelamento;Sem Solução;WhatsApp;7;4
136;2024-05-03 15:14:37;Cancelamento;Resolvido;E-mail;33;4
137;2024-06-07 03:22:20;Vendas;Encaminhado;Telefone;54;4
138;2023-08-07 16:20:50;Reclamação;Resolvido;Telefone;76;2
139;2024-07-24 02:39:20;Informação;Resolvido;Telefone;;2
140;2023-09-10 01:59:40;Reclamação;Sem Solução;WhatsApp;106;2
141;2023-06-20 18:01:09;Vendas;Resolvido;Telefone;20;4
142;2023-04-29 05:36:03;Suporte Técnico;Sem Solução;E-mail;45;2
143;2024-08-13 12:28:26;Reclamação;Sem Solução;Chat Online;64;4
144;2024-11-05 20:37:25;Vendas;Encaminhado;Chat Online;;0
145;2023-10-14 08:44:18;Reclamação;Encaminhado;Chat Online;15;3
146;2023-02-03 22:46:53;Vendas;Encaminhado;Chat Online;115;2
147;2024-08-12 15:09:08;Reclamação;Sem Solução;Chat Online;;3
148;2023-01-20 12:30:21;Cancelamento;Pendente;Chat Online;109;5
149;2024-09-03 06:26:01;Cancelamento;Resolvido;E-mail;56;2
150;2024-01-22 08:44:36;Cancelamento;Sem Solução;E-mail;71;5
151;2024-04-03 02:30:47;Cancelamento;Sem Solução;Telefone;101;5
152;2024-03-29 20:46:17;Suporte Técnico;Encaminhado;Chat Online;54;4
153;2023-07-03 01:03:28;Cancelamento;Resolvido;Chat Online;99;3
154;2023-12-15 13:34:47;Suporte Técnico;Encaminhado;E-mail;38;2
155;2024-10-13 12:40:47;Suporte Técnico;Sem Solução;Telefone;109;5
156;2023-04-25 21:38:16;Cancelamento;Resolvido;Chat Online;83;2
157;2024-06-05 01:28:07;Suporte Técnico;Sem Solução;Chat Online;54;0
158;2024-10-14 14:24:59;Informação;Resolvido;Chat Online;74;1
159;2023-01-03 01:30:32;Reclamação;Pendente;E-mail;;2
160;2023-01-20 08:07:55;Vendas;Resolvido;Telefone;107;1
161;2024-08-02 05:51:01;Informação;Encaminhado;Chat Online;108;3
162;2024-07-07 10:51:03;Cancelamento;Pendente;E-mail;91;0
163;2024-08-18 09:00:35;Informação;Resolvido;Chat Online;19;1
164;2024-11-16 21:18:46;Vendas;Pendente;Telefone;103;0
165;2023-11-03 07:07:34;Vendas;Resolvido;Chat Online;88;0
166;2024-03-07 09:02:17;Cancelamento;Resolvido;WhatsApp;95;5
167;2024-05-25 11:26:00;Vendas;Sem Solução;E-mail;47;2
168;2024-02-03 14:11:49;Informação;Pendente;WhatsApp;35;2
169;2024-11-04 18:29:10;Vendas;Encaminhado;WhatsApp;90;2
170;2023-08-18 18:37:45;Reclamação;Pendente;E-mail;16;0
171;2024-03-05 11:42:58;Reclamação;Resolvido;WhatsApp;93;4
172;2024-10-09 02:17:40;Suporte Técnico;Encaminhado;Telefone;10;5
173;2023-03-06 19:32:25;Suporte Técnico;Encaminhado;Telefone;109;2
174;2023-02-16 02:28:12;Reclamação;Resolvido;Telefone;115;1
175;2024-09-15 07:04:07;Reclamação;Encaminhado;WhatsApp;;5
176;2023-12-02 08:40:53;Suporte Técnico;Encaminhado;Telefone;78;3
177;2024-02-04 11:44:46;Cancelamento;Encaminhado;Chat Online;18;0
178;2023-09-06 20:44:51;Suporte Técnico;Pendente;E-mail;104;2
179;2023-03-05 15:48:20;Reclamação;Encaminhado;Chat Online;99;1
180;2023-11-07 11:52:47;Vendas;Sem Solução;WhatsApp;3;2
181;2024-07-20 21:46:42;Cancelamento;Sem Solução;Telefone;109;4
182;2024-01-15 03:21:43;Informação;Sem Solução;Chat Online;;5
183;2023-05-13 07:08:43;Vendas;Pendente;Telefone;65;1
184;2024-02-25 15:02:33;Informação;Encaminhado;Telefone;42;1
185;2023-04-06 09:40:47;Cancelamento;Pendente;E-mail;110;0
186;2024-01-22 11:22:17;Suporte Técnico;Sem Solução;Chat Online;113;0
187;2023-11-11 18:16:16;Suporte Técnico;Sem Solução;Chat Online;115;4
188;2023-10-11 22:25:21;Reclamação;Sem Solução;E-mail;43;0
189;2023-07-09 04:05:44;Informação;Resolvido;Telefone;87;4
190;2024-03-12 16:43:49;Reclamação;Sem Solução;Telefone;101;0
191;2024-10-18 19:56:40;Informação;Sem Solução;Telefone;;3
192;2024-03-22 18:16:59;Vendas;Resolvido;E-mail;32;1
193;2023-01-26 17:23:02;Informação;Sem Solução;Chat Online;;2
194;2023-05-04 17:57:56;Cancelamento;Pendente;WhatsApp;111;2
195;2024-11-05 19:38:08;Cancelamento;Resolvido;Chat Online;25;3
196;2024-01-16 00:00:08;Vendas;Pendente;Telefone;111;5
197;2024-06-16 11:10:29;Vendas;Sem Solução;E-mail;43;4
198;2024-05-27 04:16:26;Cancelamento;Encaminhado;WhatsApp;59;1
199;2024-11-01 13:37:14;Informação;Resolvido;Telefone;15;1
200;2023-07-30 22:07:58;Informação;Sem Solução;E-mail;22;0
201;2023-11-23 02:01:04;Suporte Técnico;Resolvido;WhatsApp;18;5
202;2023-06-03 17:01:39;Suporte Técnico;Sem Solução;WhatsApp;67;0
203;2023-08-19 10:47:44;Cancelamento;Pendente;Telefone;60;4
204;2023-10-02 20:58:59;Cancelamento;Pendente;WhatsApp;15;1
205;2024-07-16 16:23:28;Reclamação;Sem Solução;WhatsApp;;5
206;2023-07-29 18:57:34;Informação;Resolvido;Chat Online;3;4
207;2023-12-04 12:01:07;Informação;Sem Solução;E-mail;5;4
208;2024-06-10 16:52:40;Reclamação;Pendente;WhatsApp;1;3
209;2023-09-08 07:50:55;Informação;Encaminhado;Chat Online;98;1
210;2023-05-07 00:50:48;Informação;Pendente;Telefone;4;3
211;2024-02-12 11:12:50;Reclamação;Pendente;WhatsApp;11;0
212;2024-02-03 19:14:59;Reclamação;Resolvido;Chat Online;67;0
213;2024-08-25 19:40:42;Vendas;Encaminhado;E-mail;104;3
214;2023-01-24 09:14:09;Vendas;Pendente;E-mail;101;5
215;2024-03-15 16:40:18;Cancelamento;Pendente;WhatsApp;54;2
216;2024-10-20 09:32:23;Cancelamento;Pendente;WhatsApp;40;5
217;2023-06-06 15:38:35;Reclamação;Encaminhado;E-mail;98;3
218;2024-07-11 04:50:55;Reclamação;Sem Solução;E-mail;38;3
219;2023-07-24 12:56:37;Cancelamento;Encaminhado;Chat Online;;4
220;2023-11-21 12:58:03;Cancelamento;Encaminhado;WhatsApp;89;0
221;2023-07-23 07:45:43;Vendas;Sem Solução;WhatsApp;64;1
222;2024-02-26 12:04:18;Reclamação;Resolvido;Telefone;38;0
223;2023-10-04 07:24:56;Reclamação;Resolvido;Telefone;98;2
224;2023-04-04 01:25:08;Reclamação;Pendente;E-mail;5;3
225;2024-02-27 17:39:43;Suporte Técnico;Pendente;Telefone;45;3
226;2023-09-01 21:51:31;Informação;Sem Solução;Telefone;102;1
227;2023-03-11 22:44:00;Suporte Técnico;Sem Solução;E-mail;;1
228;2024-03-14 00:26:31;Cancelamento;Resolvido;Telefone;86;4
229;2024-07-27 05:15:01;Informação;Sem Solução;Telefone;;5
230;2023-07-08 16:00:29;Cancelamento;Pendente;WhatsApp;120;0
231;2024-02-06 04:08:41;Vendas;Sem Solução;Telefone;65;1
232;2024-02-06 13:05:21;Cancelamento;Encaminhado;E-mail;7;4
233;2023-03-31 13:41:00;Cancelamento;Encaminhado;E-mail;103;5
234;2023-03-31 10:58:34;Reclamação;Pendente;Chat Online;59;4
235;2024-04-25 12:32:43;Suporte Técnico;Resolvido;Chat Online;28;4
236;2024-09-15 01:44:29;Cancelamento;Sem Solução;E-mail;10;2
237;2024-08-04 01:54:04;Reclamação;Resolvido;WhatsApp;91;4
238;2024-09-17 23:55:15;Cancelamento;Sem Solução;Telefone;;1
239;2024-11-23 19:24:34;Suporte Técnico;Resolvido;Chat Online;58;4
240;2023-02-14 17:35:54;Informação;Sem Solução;Telefone;58;0
241;2023-10-25 05:31:05;Informação;Sem Solução;Chat Online;74;2
242;2024-02-23 17:36:31;Cancelamento;Encaminhado;WhatsApp;41;1
243;2024-09-15 03:45:18;Vendas;Pendente;Chat Online;24;0
244;2023-06-18 01:50:57;Suporte Técnico;Sem Solução;Telefone;38;4
245;2023-12-23 09:49:26;Vendas;Encaminhado;Chat Online;118;2
246;2024-08-29 13:25:23;Cancelamento;Pendente;WhatsApp;74;0
247;2023-12-24 21:24:23;Cancelamento;Pendente;Chat Online;90;2
248;2024-03-25 05:00:21;Reclamação;Sem Solução;E-mail;;4
249;2023-05-10 06:25:35;Reclamação;Encaminhado;E-mail;108;2
250;2023-02-18 04:41:19;Cancelamento;Resolvido;E-mail;62;5
251;2023-09-27 07:10:06;Cancelamento;Resolvido;Chat Online;62;1
252;2024-01-22 05:47:51;Informação;Resolvido;E-mail;;3
253;2024-11-19 22:37:04;Suporte Técnico;Sem Solução;E-mail;46;3
254;2024-10-26 19:58:50;Cancelamento;Pendente;Telefone;;1
255;2024-04-13 11:17:08;Suporte Técnico;Encaminhado;E-mail;12;4
256;2023-11-10 22:45:17;Vendas;Sem Solução;WhatsApp;74;1
257;2024-09-08 07:11:17;Suporte Técnico;Encaminhado;E-mail;60;4
258;2024-05-10 22:43:35;Suporte Técnico;Sem Solução;Telefone;90;3
259;2024-01-11 06:57:58;Vendas;Resolvido;Telefone;74;1
260;2023-03-29 09:31:52;Cancelamento;Sem Solução;E-mail;68;3
261;2023-08-04 04:48:34;Reclamação;Encaminhado;WhatsApp;90;4
262;2024-04-01 20:22:22;Informação;Resolvido;Telefone;40;4
263;2024-02-10 12:42:08;Suporte Técnico;Pendente;Chat Online;;0
264;2023-10-23 19:31:46;Informação;Pendente;WhatsApp;62;4
265;2023-07-04 10:12:42;Cancelamento;Sem Solução;E-mail;105;5
266;2024-10-18 17:15:27;Informação;Resolvido;WhatsApp;;4
267;2023-07-23 13:34:43;Informação;Encaminhado;Chat Online;;4
268;2023-04-06 01:32:43;Informação;Pendente;Chat Online;14;4
269;2024-05-06 16:40:11;Suporte Técnico;Pendente;E-mail;33;3
270;2024-07-16 03:33:50;Vendas;Sem Solução;Telefone;58;0
271;2023-04-20 20:32:55;Informação;Pendente;E-mail;88;1
272;2023-04-19 20:04:49;Cancelamento;Resolvido;E-mail;38;0
273;2024-03-05 09:51:29;Informação;Resolvido;Chat Online;79;4
274;2024-10-12 13:43:14;Cancelamento;Encaminhado;WhatsApp;90;0
275;2024-02-04 23:01:13;Informação;Sem Solução;Chat Online;;4
276;2023-10-25 20:17:26;Informação;Encaminhado;WhatsApp;56;0
277;2023-10-12 00:17:48;Suporte Técnico;Resolvido;Telefone;59;0
278;2023-06-24 02:46:56;Vendas;Sem Solução;Telefone;119;5
279;2024-05-05 16:47:47;Vendas;Encaminhado;Chat Online;8;2
280;2023-11-13 21:44:25;Informação;Encaminhado;Telefone;112;0
281;2024-03-05 07:00:43;Suporte Técnico;Resolvido;Telefone;;5
282;2024-08-01 19:20:08;Suporte Técnico;Resolvido;Chat Online;30;2
283;2023-10-09 04:04:26;Informação;Pendente;E-mail;2;5
284;2023-06-03 08:49:36;Suporte Técnico;Encaminhado;WhatsApp;1;5
285;2024-09-27 17:54:12;Reclamação;Encaminhado;Telefone;88;3
286;2023-02-18 15:54:47;Vendas;Resolvido;Telefone;25;1
287;2023-04-19 04:37:04;Informação;Pendente;E-mail;;3
288;2023-11-05 08:05:39;Vendas;Pendente;Telefone;102;0
289;2023-11-02 13:31:26;Reclamação;Resolvido;WhatsApp;13;5
290;2024-09-02 19:56:58;Vendas;Resolvido;Telefone;7;5
291;2023-08-22 19:46:15;Vendas;Sem Solução;Telefone;70;0
292;2024-04-20 05:28:15;Vendas;Sem Solução;Chat Online;27;2
293;2023-07-02 14:26:41;Suporte Técnico;Resolvido;Chat Online;115;2
294;2024-09-13 07:08:26;Suporte Técnico;Resolvido;Chat Online;31;2
295;2023-07-11 13:48:14;Vendas;Resolvido;E-mail;85;2
296;2023-07-08 01:46:19;Informação;Pendente;Telefone;117;1
297;2024-05-22 06:00:20;Suporte Técnico;Pendente;Telefone;43;2
298;2023-06-13 17:51:08;Reclamação;Encaminhado;WhatsApp;10;0
299;2024-07-29 14:28:27;Cancelamento;Resolvido;E-mail;38;4
300;2023-12-06 04:43:43;Reclamação;Sem Solução;WhatsApp;66;0
301;2024-09-21 06:19:38;Informação;Resolvido;WhatsApp;25;5
302;2023-11-29 17:14:40;Vendas;Pendente;E-mail;8;1
303;2024-10-29 16:50:14;Reclamação;Sem Solução;Chat Online;96;4
304;2024-10-05 01:27:50;Suporte Técnico;Encaminhado;Chat Online;23;4
305;2024-06-12 21:55:16;Vendas;Pendente;Telefone;49;4
306;2024-06-11 00:07:31;Vendas;Pendente;Chat Online;20;2
307;2023-07-09 07:11:22;Informação;Encaminhado;E-mail;114;2
308;2023-06-06 06:15:58;Suporte Técnico;Encaminhado;Telefone;12;4
309;2024-09-04 06:19:50;Cancelamento;Encaminhado;E-mail;33;4
310;2023-04-13 09:36:41;Cancelamento;Resolvido;Chat Online;70;0
311;2024-03-28 06:00:03;Suporte Técnico;Pendente;Telefone;60;5
312;2023-02-24 06:11:29;Suporte Técnico;Pendente;WhatsApp;70;5
313;2023-01-14 15:08:48;Cancelamento;Pendente;Chat Online;41;5
314;2023-07-07 13:10:48;Vendas;Pendente;WhatsApp;15;0
315;2023-08-27 16:59:01;Cancelamento;Resolvido;E-mail;37;0
316;2023-10-14 23:20:05;Reclamação;Encaminhado;Chat Online;;4
317;2023-09-01 11:27:37;Cancelamento;Sem Solução;Chat Online;6;1
318;2023-11-13 01:43:47;Suporte Técnico;Encaminhado;Telefone;120;1
319;2024-06-26 18:33:02;Cancelamento;Pendente;Chat Online;115;0
320;2024-04-29 14:12:28;Cancelamento;Encaminhado;WhatsApp;32;0
321;2024-10-21 12:50:42;Suporte Técnico;Pendente;Telefone;18;3
322;2024-07-04 14:33:31;Cancelamento;Pendente;Telefone;56;3
323;2024-08-26 02:08:06;Vendas;Encaminhado;WhatsApp;104;0
324;2024-09-10 12:30:50;Vendas;Encaminhado;Chat Online;94;0
325;2024-10-13 14:13:53;Vendas;Resolvido;Chat Online;23;5
326;2024-11-02 23:25:45;Cancelamento;Encaminhado;Telefone;33;4
327;2023-12-27 01:24:06;Informação;Sem Solução;E-mail;72;5
328;2024-04-24 06:35:51;Reclamação;Sem Solução;WhatsApp;28;2
329;2023-12-11 11:36:22;Vendas;Pendente;WhatsApp;112;1
330;2024-04-27 14:16:02;Informação;Encaminhado;Telefone;;3
331;2023-03-05 23:59:48;Vendas;Encaminhado;E-mail;39;3
332;2023-12-12 02:14:50;Cancelamento;Encaminhado;Telefone;68;2
333;2024-02-19 05:37:29;Informação;Resolvido;E-mail;110;1
334;2024-07-17 12:45:57;Reclamação;Resolvido;Telefone;14;5
335;2023-02-03 06:29:41;Cancelamento;Encaminhado;E-mail;104;0
336;2023-01-01 02:21:53;Reclamação;Encaminhado;WhatsApp;24;5
337;2024-02-14 21:50:40;Suporte Técnico;Encaminhado;Telefone;31;1
338;2024-10-25 07:33:34;Suporte Técnico;Pendente;WhatsApp;90;1
339;2023-03-08 02:42:21;Vendas;Sem Solução;WhatsApp;53;5
340;2023-06-24 09:44:29;Reclamação;Pendente;Chat Online;1;3
341;2024-09-15 13:40:46;Vendas;Encaminhado;E-mail;102;1
342;2024-01-23 13:05:56;Reclamação;Encaminhado;Chat Online;32;2
343;2024-07-27 10:59:13;Reclamação;Resolvido;Chat Online;;2
344;2024-04-13 08:00:50;Cancelamento;Encaminhado;Telefone;101;2
345;2024-10-29 03:47:56;Reclamação;Sem Solução;Telefone;83;0
346;2024-07-27 22:35:22;Vendas;Encaminhado;Telefone;27;5
347;2023-07-11 15:51:16;Informação;Pendente;E-mail;38;5
348;2024-03-17 15:09:32;Cancelamento;Resolvido;E-mail;56;3
349;2024-11-25 19:52:59;Informação;Encaminhado;Chat Online;51;3
350;2024-10-08 10:57:24;Reclamação;Pendente;WhatsApp;62;0
351;2023-06-17 11:36:07;Reclamação;Encaminhado;Chat Online;47;2
352;2023-06-19 06:11:12;Reclamação;Sem Solução;Telefone;76;5
353;2023-02-16 02:31:59;Vendas;Resolvido;E-mail;4;0
354;2023-09-22 05:11:02;Suporte Técnico;Pendente;Chat Online;9;0
355;2024-09-11 16:34:03;Informação;Encaminhado;Chat Online;108;3
356;2024-06-20 01:29:47;Suporte Técnico;Pendente;E-mail;50;5
357;2023-11-20 17:31:44;Cancelamento;Sem Solução;WhatsApp;33;4
358;2024-03-07 09:08:33;Informação;Pendente;Chat Online;2;3
359;2024-07-28 19:13:12;Cancelamento;Sem Solução;Chat Online;98;0
360;2023-05-07 18:48:38;Reclamação;Sem Solução;E-mail;70;3
361;2024-11-19 03:01:11;Informação;Sem Solução;Chat Online;74;0
362;2023-05-23 05:15:28;Suporte Técnico;Resolvido;Telefone;20;0
363;2024-08-31 15:21:42;Suporte Técnico;Resolvido;Chat Online;112;4
364;2023-11-01 20:40:22;Reclamação;Encaminhado;Chat Online;3;0
365;2023-08-21 14:21:40;Reclamação;Pendente;Telefone;49;2
366;2023-10-30 03:26:36;Suporte Técnico;Resolvido;Telefone;45;1
367;2024-06-01 09:02:20;Reclamação;Pendente;Telefone;104;0
368;2024-08-27 22:54:17;Vendas;Pendente;WhatsApp;84;2
369;2023-01-17 03:45:17;Cancelamento;Pendente;WhatsApp;28;0
370;2024-10-03 17:45:53;Cancelamento;Sem Solução;E-mail;83;3
371;2023-05-08 15:22:23;Cancelamento;Pendente;Chat Online;;2
372;2024-10-21 06:55:13;Suporte Técnico;Encaminhado;Telefone;89;0
